300832.5114,9898342.551
300914.5649,9897885.963
300914.5649,9897885.963
300832.5114,9898342.551
300914.5649,9897885.963
300832.5114,9898342.551
300832.5114,9898342.551
300914.5649,9897885.963
300832.5114,9898342.551
300914.5649,9897885.963
300832.5114,9898342.551
300914.5649,9897885.963
300832.5114,9898342.551
300914.5649,9897885.963
300832.5114,9898342.551
300914.5649,9897885.963
300892.7358,9898007.431
300832.5114,9898342.551
300914.5649,9897885.963
300873.5382,9898114.257
300859.6418,9898191.584
300845.5844,9898269.806
300849.3033,9898249.112
300868.2684,9898143.581
